year,country,metricFOB,metricKG
2025,China,851489183,87300028
2025,Alemanha,53023113,2480407
2025,Bélgica,35923960,2586607
2025,Estados Unidos,28181861,1198847
2025,México,14368871,782525
2025,Tailândia,7007906,1102200
2025,Japão,2869547,210054
2025,França,1852671,150131
2025,Itália,1345078,134108
2025,Reino Unido,855701,5930
2025,Coreia do Sul,839934,32388
2025,Marrocos,226537,11304
2025,Índia,105418,4514
2025,Argentina,75195,2500
2025,Canadá,49698,2400
2025,Austrália,4896,840
2024,China,1351781280,105098004
2024,Alemanha,90181794,4357061
2024,Hong Kong,70434186,5542581
2024,México,36304523,1845642
2024,Bélgica,25327461,1550912
2024,Estados Unidos,7230142,225704
2024,Hungria,4763351,218748
2024,Coreia do Sul,3829338,193218
2024,Reino Unido,2291306,40220
2024,França,770760,51836
2024,Itália,477173,25241
2024,Canadá,5349,6
2023,China,450699377,31278416
2023,Bélgica,125055480,8018087
2023,Alemanha,116790807,4550927
2023,França,27380150,1442677
2023,Estados Unidos,18538556,649459
2023,México,15430354,642697
2023,Reino Unido,7499771,413860
2023,Coreia do Sul,3175915,174227
2023,Hungria,1070070,50575
2023,Áustria,469060,24948
2023,Itália,391249,20970
2023,Suíça,335076,18900
2023,Eslováquia,84480,4536
2023,Singapura,65200,10080
2023,Japão,64439,1930
2023,Chile,59000,3080
2022,Bélgica,98601255,7047046
2022,China,54194756,4080323
2022,Alemanha,49639042,2007230
2022,Suíça,17418426,946575
2022,Estados Unidos,10895790,299863
2022,Reino Unido,10013338,660960
2022,França,6332862,476981
2022,Itália,1306556,62134
2022,Áustria,1051142,59088
2022,Hungria,987088,44625
2022,México,206825,7972
2022,Japão,103113,3710
2022,Dinamarca,64852,2600
2022,Coreia do Sul,29833,1685
2022,Índia,8940,700
2021,Alemanha,37467528,1311213
2021,Bélgica,19802419,1557641
2021,Suíça,17856699,863100
2021,Reino Unido,10389594,705540
2021,Itália,9806716,504089
2021,Estados Unidos,6203442,213176
2021,China,3267153,276397
2021,França,2824287,259583
2021,Áustria,640798,45672
2021,Coreia do Sul,54429,2647
2021,Argentina,25118,1877
2021,Índia,10572,2286
