Country,Category,HS_Code,Year,Origin_Code,Origin,CIF_Value_USD,Net_Weight_Kg,Quantity,Origin_Region
Peru,EV_100pct,870380,2021,842,USA,46052.12,1770.0,1.0,USA/Mexico
Peru,EV_100pct,870380,2021,56,Belgium,679877.48,30823.0,12.0,Europe
Peru,EV_100pct,870380,2021,410,Rep. of Korea,249041.25,13680.0,9.0,Japan/Korea
Peru,EV_100pct,870380,2021,276,Germany,588490.1,14592.0,6.0,Europe
Peru,EV_100pct,870380,2021,156,China,237039.94,34450.74,90.0,China
Peru,EV_100pct,870380,2022,56,Belgium,1917868.551,83842.0,32.0,Europe
Peru,EV_100pct,870380,2022,410,Rep. of Korea,1407352.88,73517.0,47.0,Japan/Korea
Peru,EV_100pct,870380,2022,156,China,508273.574,38735.1,53.0,China
Peru,EV_100pct,870380,2022,826,United Kingdom,426888.232,19542.2,14.0,Other/Unclassified
Peru,EV_100pct,870380,2022,276,Germany,416471.423,12118.0,5.0,Europe
Peru,EV_100pct,870380,2022,842,USA,334193.421,6422.24,3.0,USA/Mexico
Peru,EV_100pct,870380,2023,348,Hungary,56075.24,2160.0,1.0,Other/Unclassified
Peru,EV_100pct,870380,2023,484,Mexico,21365.63,2270.0,1.0,USA/Mexico
Peru,EV_100pct,870380,2023,56,Belgium,1940064.82,76227.0,31.0,Europe
Peru,EV_100pct,870380,2023,826,United Kingdom,1492486.78,65884.0,46.0,Other/Unclassified
Peru,EV_100pct,870380,2023,410,Rep. of Korea,2730526.08,131816.0,79.0,Japan/Korea
Peru,EV_100pct,870380,2023,392,Japan,1921491.52,113410.0,63.0,Japan/Korea
Peru,EV_100pct,870380,2023,276,Germany,2823673.71,94233.0,42.0,Europe
Peru,EV_100pct,870380,2023,156,China,3922009.0,410469.14,1614.0,China
Peru,EV_100pct,870380,2023,842,USA,204844.2,7583.0,4.0,USA/Mexico
Peru,EV_100pct,870380,2023,699,India,9834.22,1064.0,3.0,India
Peru,EV_100pct,870380,2024,276,Germany,2092087.058,69166.0,31.0,Europe
Peru,EV_100pct,870380,2024,826,United Kingdom,286543.244,15410.0,9.0,Other/Unclassified
Peru,EV_100pct,870380,2024,156,China,1308439.324,93440.0,68.0,China
Peru,EV_100pct,870380,2024,842,USA,643307.816,17715.0,7.0,USA/Mexico
Peru,EV_100pct,870380,2024,699,India,30801.384,1188.13,4.0,India
Peru,EV_100pct,870380,2024,56,Belgium,2172256.278,90150.0,44.0,Europe
Peru,EV_100pct,870380,2024,392,Japan,2659625.061,154301.0,85.0,Japan/Korea
Peru,EV_100pct,870380,2024,410,Rep. of Korea,382100.272,16689.0,9.0,Japan/Korea
Peru,EV_100pct,870380,2024,156,China,134027.345,11090.0,9.0,China
Peru,EV_100pct,870380,2024,156,China,1956304.452,108463.0,61.0,China
Peru,EV_100pct,870380,2024,156,China,347604.23,21230.0,12.0,China
Peru,EV_100pct,870380,2024,156,China,283260.04,14610.0,15.0,China
Peru,EV_100pct,870380,2024,156,China,1982610.569,376891.912,2579.0,China
Peru,EV_100pct,870380,2024,156,China,2116637.914,387981.912,2588.0,China
Peru,EV_100pct,870380,2024,156,China,295420.902,14960.0,8.0,China
Peru,EV_100pct,870380,2024,56,Belgium,725086.593,26410.0,10.0,Europe
Peru,EV_100pct,870380,2024,56,Belgium,2897342.871,116560.0,54.0,Europe
Peru,EV_100pct,870380,2024,156,China,6461703.343,643359.912,2750.0,China
Peru,EV_100pct,870380,2024,156,China,6595730.688,654449.912,2759.0,China
Peru,EV_100pct,870380,2024,156,China,106179.73,5640.0,3.0,China
Peru,EV_100pct,870380,2024,156,China,167335.926,6780.0,3.0,China
Peru,EV_100pct,870380,2024,554,New Zealand,52677.93,2000.0,1.0,Other/Unclassified
Peru,EV_100pct,870380,2024,156,China,14548.17,1345.0,1.0,China
Peru,Hybrid,870340,2021,380,Italy,65585.15,1878.0,1.0,Europe
Peru,Hybrid,870340,2021,703,Slovakia,5176950.24,192464.0,85.0,Europe
Peru,Hybrid,870340,2021,752,Sweden,2170166.36,100495.0,52.0,Europe
Peru,Hybrid,870340,2021,792,Türkiye,1951208.55,121160.0,83.0,Other/Unclassified
Peru,Hybrid,870340,2021,826,United Kingdom,1658363.99,55209.0,26.0,Other/Unclassified
Peru,Hybrid,870340,2021,56,Belgium,558121.54,28477.0,16.0,Europe
Peru,Hybrid,870340,2021,76,Brazil,5171064.03,358825.0,252.0,LatAm (re-export)
Peru,Hybrid,870340,2021,392,Japan,10954803.05,684570.0,438.0,Japan/Korea
Peru,Hybrid,870340,2021,410,Rep. of Korea,1248423.07,77501.0,53.0,Japan/Korea
Peru,Hybrid,870340,2021,484,Mexico,9365880.48,480771.0,265.0,USA/Mexico
Peru,Hybrid,870340,2021,276,Germany,3233567.7,174203.0,111.0,Europe
Peru,Hybrid,870340,2021,842,USA,7329348.07,334950.0,163.0,USA/Mexico
Peru,Hybrid,870340,2022,752,Sweden,7126333.676,318543.0,161.0,Europe
Peru,Hybrid,870340,2022,703,Slovakia,2549466.561,92270.0,39.0,Europe
Peru,Hybrid,870340,2022,56,Belgium,3162603.357,160080.0,93.0,Europe
Peru,Hybrid,870340,2022,710,South Africa,1212836.514,53160.0,32.0,Other/Unclassified
Peru,Hybrid,870340,2022,826,United Kingdom,1475974.54,49924.0,23.0,Other/Unclassified
Peru,Hybrid,870340,2022,360,Indonesia,1455638.233,134550.0,117.0,Southeast Asia
Peru,Hybrid,870340,2022,792,Türkiye,801430.938,49620.0,34.0,Other/Unclassified
Peru,Hybrid,870340,2022,410,Rep. of Korea,3444134.12,202338.0,143.0,Japan/Korea
Peru,Hybrid,870340,2022,392,Japan,11287301.858,682667.0,423.0,Japan/Korea
Peru,Hybrid,870340,2022,484,Mexico,4349114.733,219742.0,117.0,USA/Mexico
Peru,Hybrid,870340,2022,276,Germany,3913735.205,199936.0,117.0,Europe
Peru,Hybrid,870340,2022,76,Brazil,14462154.98,951620.0,668.0,LatAm (re-export)
Peru,Hybrid,870340,2022,842,USA,8285391.173,342752.0,161.0,USA/Mexico
Peru,Hybrid,870340,2022,156,China,8514102.443,782549.0,474.0,China
Peru,Hybrid,870340,2022,380,Italy,550801.935,16720.0,8.0,Europe
Peru,Hybrid,870340,2023,348,Hungary,88443.27,3460.0,2.0,Other/Unclassified
Peru,Hybrid,870340,2023,752,Sweden,8277812.22,366510.0,189.0,Europe
Peru,Hybrid,870340,2023,203,Czechia,589799.78,40701.0,22.0,Europe
Peru,Hybrid,870340,2023,703,Slovakia,6406410.9,221903.0,99.0,Europe
Peru,Hybrid,870340,2023,710,South Africa,1420629.47,61960.0,37.0,Other/Unclassified
Peru,Hybrid,870340,2023,56,Belgium,3905065.69,195163.0,115.0,Europe
Peru,Hybrid,870340,2023,826,United Kingdom,2848877.0,100097.0,48.0,Other/Unclassified
Peru,Hybrid,870340,2023,360,Indonesia,3789285.52,300080.0,255.0,Southeast Asia
Peru,Hybrid,870340,2023,410,Rep. of Korea,4114560.41,254887.0,177.0,Japan/Korea
Peru,Hybrid,870340,2023,484,Mexico,10159950.18,489052.0,260.0,USA/Mexico
Peru,Hybrid,870340,2023,699,India,6409442.56,607524.0,498.0,India
Peru,Hybrid,870340,2023,392,Japan,20917765.59,1225870.0,780.0,Japan/Korea
Peru,Hybrid,870340,2023,276,Germany,14783152.43,651439.0,366.0,Europe
Peru,Hybrid,870340,2023,76,Brazil,15397351.0,953890.0,667.0,LatAm (re-export)
Peru,Hybrid,870340,2023,380,Italy,1888092.24,51810.0,27.0,Europe
Peru,Hybrid,870340,2023,842,USA,22049709.62,848720.0,417.0,USA/Mexico
