Country,Category,HS_Code,Year,CIF_Value_USD,Net_Weight_Kg,Quantity
Peru,EV_100pct,870380,2021,1800500.89,95315.74,118.0
Peru,EV_100pct,870380,2022,5011048.081,234176.54,154.0
Peru,EV_100pct,870380,2023,15122371.2,905116.14,1884.0
Peru,EV_100pct,870380,2024,67226.1,3345.0,2.0
Peru,EV_100pct,870380,2024,15506188.979,1036389.042,2950.0
Peru,EV_100pct,870380,2024,1982610.569,376891.912,2579.0
Peru,EV_100pct,870380,2024,1308439.324,93440.0,68.0
Peru,EV_100pct,870380,2024,3914360.637,135481.0,60.0
Peru,EV_100pct,870380,2024,2659625.061,154301.0,85.0
Peru,EV_100pct,870380,2024,283260.04,14610.0,15.0
Peru,EV_100pct,870380,2024,677521.174,31649.0,17.0
Peru,EV_100pct,870380,2024,4128560.73,198613.0,105.0
Peru,EV_100pct,870380,2024,347604.23,21230.0,12.0
Peru,EV_100pct,870380,2024,134027.345,11090.0,9.0
Peru,EV_100pct,870380,2024,2116637.914,387981.912,2588.0
Peru,EV_100pct,870380,2024,15640216.324,1047479.042,2959.0
Peru,EV_100pct,870380,2024,30801.384,1188.13,4.0
Peru,EV_100pct,870380,2024,106179.73,5640.0,3.0
Peru,Hybrid,870340,2021,48883482.23,2610503.0,1545.0
Peru,Hybrid,870340,2022,72591020.266,4256471.0,2610.0
Peru,Hybrid,870340,2023,140887512.49,7995646.0,4969.0
Peru,Hybrid,870340,2024,394612.643,35780.0,21.0
Peru,Hybrid,870340,2024,14664826.367,671612.0,365.0
Peru,Hybrid,870340,2024,49214628.575,1873975.0,927.0
Peru,Hybrid,870340,2024,5001579.032,310304.0,209.0
Peru,Hybrid,870340,2024,41856107.262,3042810.4,2226.0
Peru,Hybrid,870340,2024,690998.03,17250.0,9.0
Peru,Hybrid,870340,2024,2008380.239,114580.0,72.0
Peru,Hybrid,870340,2024,11423437.0,769715.0,622.0
Peru,Hybrid,870340,2024,64041.47,5750.0,5.0
Peru,Hybrid,870340,2024,167177630.218,9218466.8,5988.0
Peru,Hybrid,870340,2024,5274755.196,514361.0,318.0
Peru,Hybrid,870340,2024,2094108.404,120655.0,74.0
Peru,Hybrid,870340,2024,23515717.0,1422940.0,1001.0
Peru,Hybrid,870340,2024,10974439.0,318734.4,139.0
Peru,Hybrid,870340,2024,5372945.196,524543.0,324.0
Peru,Hybrid,870340,2024,167275820.218,9228648.8,5994.0
Peru,Hybrid,870340,2024,98190.0,10182.0,6.0
Peru,Combustion_pickup,870421,2021,539471987.55,57044396.0,28880.0
Peru,Combustion_pickup,870421,2022,652086497.013,65035101.5,32610.0
Peru,Combustion_pickup,870421,2023,627962779.88,59587668.6,30555.0
Peru,Combustion_pickup,870421,2024,551134293.339,51647595.63,26149.0
Peru,Combustion_pickup,870421,2024,88061430.515,13076656.4,6610.0
Peru,Combustion_pickup,870421,2024,8044464.768,1142123.6,585.0
Peru,Combustion_pickup,870421,2024,26544929.0,2261735.0,1139.0
Peru,Combustion_pickup,870421,2024,9593858.651,892472.0,441.0
Peru,Combustion_pickup,870421,2024,34597065.562,3263910.0,1729.0
Peru,Combustion_pickup,870421,2024,10353151.764,935592.0,515.0
Peru,Combustion_pickup,870421,2024,33557554.01,3791398.0,2428.0
Peru,Combustion_pickup,870421,2024,834098.341,129320.0,65.0
Peru,Combustion_pickup,870421,2024,2604610.0,254200.0,180.0
Peru,Combustion_pickup,870421,2024,267469.232,30190.0,15.0
Peru,Combustion_pickup,870421,2024,149625.732,25780.0,13.0
Peru,Combustion_pickup,870421,2024,336624795.463,25879530.0,12441.0
Peru,Combustion_pickup,870421,2024,318335.265,20658.63,16.0
Peru,Combustion_pickup,870421,2024,9688158.651,894942.0,442.0
Peru,Combustion_pickup,870421,2024,88211056.247,13102436.4,6623.0
Peru,Combustion_pickup,870421,2024,551401762.571,51677785.63,26164.0
Peru,Combustion_pickup,870421,2024,23543.5,1940.0,1.0
Peru,Combustion_pickup,870421,2024,94300.0,2470.0,1.0
Peru,Lithium_battery,850760,2021,23957458.99,1053942.55,2355649.33
Peru,Lithium_battery,850760,2022,46429449.27,1631548.444,1773644.489
Peru,Lithium_battery,850760,2023,68799490.59,2684266.71,2227747.08
