Entity,Code,Year,Electric cars sold
Brazil,BRA,2010,10
Brazil,BRA,2011,8
Brazil,BRA,2012,40
Brazil,BRA,2013,72
Brazil,BRA,2014,61
Brazil,BRA,2015,89
Brazil,BRA,2016,177
Brazil,BRA,2017,430
Brazil,BRA,2018,410
Brazil,BRA,2019,1940
Brazil,BRA,2020,2600
Brazil,BRA,2021,13900
Brazil,BRA,2022,18500
Brazil,BRA,2023,52000
Brazil,BRA,2024,126000
Brazil,BRA,2025,178000
Chile,CHL,2011,6
Chile,CHL,2012,5
Chile,CHL,2013,5
Chile,CHL,2014,19
Chile,CHL,2015,36
Chile,CHL,2016,31
Chile,CHL,2017,135
Chile,CHL,2018,198
Chile,CHL,2019,305
Chile,CHL,2020,239
Chile,CHL,2021,860
Chile,CHL,2022,1770
Chile,CHL,2023,2110
Chile,CHL,2024,5600
Chile,CHL,2025,8700
Colombia,COL,2011,1
Colombia,COL,2012,26
Colombia,COL,2013,23
Colombia,COL,2014,27
Colombia,COL,2015,42
Colombia,COL,2016,53
Colombia,COL,2017,148
Colombia,COL,2018,570
Colombia,COL,2019,1210
Colombia,COL,2020,1140
Colombia,COL,2021,2540
Colombia,COL,2022,4300
Colombia,COL,2023,5600
Colombia,COL,2024,13100
Colombia,COL,2025,21700
Mexico,MEX,2011,3
Mexico,MEX,2012,88
Mexico,MEX,2013,12
Mexico,MEX,2014,48
Mexico,MEX,2015,99
Mexico,MEX,2016,770
Mexico,MEX,2017,1200
Mexico,MEX,2018,1800
Mexico,MEX,2019,1690
Mexico,MEX,2020,3800
Mexico,MEX,2021,6500
Mexico,MEX,2022,8400
Mexico,MEX,2023,16100
Mexico,MEX,2024,27200
Mexico,MEX,2025,90000
