Entity,Code,Year,Share of new cars that are electric
Brazil,BRA,2010,0.00035
Brazil,BRA,2011,0.00028
Brazil,BRA,2012,0.0013
Brazil,BRA,2013,0.0024
Brazil,BRA,2014,0.0022
Brazil,BRA,2015,0.0042
Brazil,BRA,2016,0.011
Brazil,BRA,2017,0.023
Brazil,BRA,2018,0.02
Brazil,BRA,2019,0.084
Brazil,BRA,2020,0.16
Brazil,BRA,2021,0.92
Brazil,BRA,2022,1.2
Brazil,BRA,2023,3.0
Brazil,BRA,2024,6.4
Brazil,BRA,2025,9.0
Chile,CHL,2011,0.0024
Chile,CHL,2012,0.002
Chile,CHL,2013,0.0019
Chile,CHL,2014,0.0079
Chile,CHL,2015,0.019
Chile,CHL,2016,0.015
Chile,CHL,2017,0.064
Chile,CHL,2018,0.08
Chile,CHL,2019,0.14
Chile,CHL,2020,0.2
Chile,CHL,2021,0.29
Chile,CHL,2022,0.6
Chile,CHL,2023,0.75
Chile,CHL,2024,2.1
Chile,CHL,2025,4.0
Colombia,COL,2011,0.00042
Colombia,COL,2012,0.011
Colombia,COL,2013,0.0096
Colombia,COL,2014,0.01
Colombia,COL,2015,0.017
Colombia,COL,2016,0.025
Colombia,COL,2017,0.074
Colombia,COL,2018,0.26
Colombia,COL,2019,0.56
Colombia,COL,2020,0.77
Colombia,COL,2021,1.4
Colombia,COL,2022,2.2
Colombia,COL,2023,3.6
Colombia,COL,2024,7.6
Colombia,COL,2025,10.0
Mexico,MEX,2011,0.0004
Mexico,MEX,2012,0.01
Mexico,MEX,2013,0.0013
Mexico,MEX,2014,0.005
Mexico,MEX,2015,0.0086
Mexico,MEX,2016,0.056
Mexico,MEX,2017,0.091
Mexico,MEX,2018,0.15
Mexico,MEX,2019,0.15
Mexico,MEX,2020,0.49
Mexico,MEX,2021,0.78
Mexico,MEX,2022,0.96
Mexico,MEX,2023,1.5
Mexico,MEX,2024,2.2
Mexico,MEX,2025,7.0
